IMO.Number,predicted.kg.CO2.per.nm,TEU.predicted.kg.CO2.per.nm
5013258,138.6566837,NA
5013521,376.4598303,NA
5013870,118.8637899,NA
5013997,378.3392459,NA
5014290,165.5250328,NA
5014812,378.3392459,NA
5015311,119.9597287,NA
5015749,376.4598303,NA
5016171,120.7952797,NA
5016573,472.0769135,NA
5016626,119.6768348,NA
5016676,377.5557691,NA
5016743,378.3392459,NA
5017565,377.5557691,NA
5017656,120.7952797,NA
5018246,562.0783295,NA
5018399,137.3279053,NA
5018571,377.5557691,NA
5018600,120.7952797,NA
5018612,128.8310391,NA
5018844,120.7952797,NA
5018923,120.7952797,NA
5018947,120.7952797,NA
5019496,423.9494746,NA
5019501,376.4598303,NA
5019549,120.7952797,NA
5019800,120.2794435,NA
5021970,376.4598303,NA
5022302,106.9818199,NA
5023564,378.3392459,NA
5023643,120.7044146,NA
5023796,378.3392459,NA
5024738,313.1598026,NA
5024843,377.5557691,NA
5024946,111.1857668,NA
5025691,300.1376355,NA
5026619,378.3392459,NA
5026736,377.5557691,NA
5028057,377.5557691,NA
5028071,120.7044146,NA
5028605,376.4598303,NA
5029752,122.9909466,NA
5029893,377.7920845,NA
5029946,377.5557691,NA
5029960,378.3392459,NA
5030086,377.5557691,NA
5031119,377.5557691,NA
5031315,120.7044146,NA
5031901,120.7952797,NA
5031925,376.4598303,NA
5032204,376.4598303,NA
5032357,120.7044146,NA
5032931,138.6566837,NA
5033583,158.0238224,NA
5033789,120.7952797,NA
5034276,120.7952797,NA
5034604,377.5557691,NA
5034707,120.7952797,NA
5034927,118.9081312,NA
5035775,377.5557691,NA
5036133,377.5557691,NA
5036327,120.7952797,NA
5036420,377.5557691,NA
5036896,118.3436346,NA
5037008,376.4598303,NA
5037412,377.5557691,NA
5037565,120.7952797,NA
5037759,106.6646078,NA
5037943,376.4598303,NA
5038404,120.7952797,NA
5038818,376.4598303,NA
5039501,109.6602465,NA
5040433,138.6566837,NA
5040500,124.7232033,NA
5040586,119.7676999,NA
5041970,118.9081312,NA
5042209,120.7952797,NA
5042871,120.9311525,NA
5043461,120.7044146,NA
5043734,120.7952797,NA
5044013,120.1399892,NA
5044037,378.3392459,NA
5044520,376.3447456,NA
5044752,376.3447456,NA
5044893,151.6667234,NA
5045653,120.7952797,NA
5045665,377.5871291,NA
5045718,118.6265285,NA
5045782,120.9873086,NA
5046176,377.5557691,NA
5046281,362.5601935,NA
5046970,376.4598303,NA
5047156,363.2330684,NA
5047481,118.9081312,NA
5048497,375.6613938,NA
5048502,377.5557691,NA
5048590,377.5557691,NA
5049128,120.7952797,NA
5049336,119.6768348,NA
5049609,120.7952797,NA
5049702,378.3392459,NA
5049922,376.3447456,NA
5051406,120.9873086,NA
5051937,120.7952797,NA
5052046,120.7952797,NA
5052084,377.5557691,NA
5052199,377.5557691,NA
5053466,378.1039635,NA
5053777,383.2382274,NA
5054343,118.6265285,NA
5054393,134.7238636,NA
5054642,120.7952797,NA
5054795,377.5557691,NA
5055098,377.5557691,NA
5055323,394.3446419,NA
5055385,376.4598303,NA
5055531,394.3446419,NA
5056066,119.7676999,NA
5056133,120.7044146,NA
5056509,377.5557691,NA
5056640,116.7727931,NA
5057486,119.7676999,NA
5057644,365.4285909,NA
5057668,119.935711,NA
5057931,325.0591393,NA
5058258,394.3446419,NA
5058272,377.5557691,NA
5058674,378.1039635,NA
5059147,119.7676999,NA
5059812,377.5557691,NA
5060122,118.4344997,NA
5061853,378.3392459,NA
5062314,377.5557691,NA
5062352,376.4598303,NA
5062431,376.3447456,NA
5062613,377.5557691,NA
5063394,120.1399892,NA
5063588,120.7952797,NA
5063643,120.7952797,NA
5063825,120.7952797,NA
5064142,378.3392459,NA
5064233,120.7952797,NA
5064245,394.3446419,NA
5064673,377.5557691,NA
5065005,376.4598303,NA
5065160,124.4246654,NA
5065366,120.7952797,NA
5065392,293.4179336,NA
5066073,120.7044146,NA
5066346,120.1399892,NA
5066451,378.1039635,NA
5066695,120.7952797,NA
5066786,376.3447456,NA
5066920,120.7952797,NA
5067091,377.5557691,NA
5067728,377.5557691,NA
5067807,377.5557691,NA
5068576,378.3392459,NA
5068875,119.6768348,NA
5068916,120.7952797,NA
5069001,120.7952797,NA
5069415,138.6566837,NA
5069520,122.2608541,NA
5070189,377.5557691,NA
5070672,376.4598303,NA
5070713,136.4805859,NA
5071561,120.134106,NA
5071614,120.7952797,NA
5071925,377.5557691,NA
5072515,408.2859625,NA
5072905,377.5557691,NA
5073234,117.574931,NA
5073612,105.9302224,NA
5074460,178.4724164,NA
5074628,143.0883165,NA
5075878,364.9117565,NA
5075880,120.1399892,NA
5076171,377.5557691,NA
5076183,120.7952797,NA
5076195,122.8252047,NA
5076949,143.1041504,NA
5077216,377.5557691,NA
5077319,377.5557691,NA
5077967,120.7044146,NA
5079020,106.3817139,NA
5079355,378.3392459,NA
5080093,134.9178011,NA
5081487,378.3392459,NA
5081865,376.4598303,NA
5081889,376.4598303,NA
5081906,380.324913,NA
5082388,377.5557691,NA
5082534,376.3447456,NA
5082986,377.5557691,NA
5083069,378.3392459,NA
5083289,376.4598303,NA
5083394,377.1867409,NA
5083758,120.7952797,NA
5084013,120.7952797,NA
5085457,120.7952797,NA
5085677,120.1399892,NA
5085691,375.5426077,NA
5085768,376.4598303,NA
5085861,378.3392459,NA
5085988,119.9597287,NA
5086322,377.5557691,NA
5086396,382.5743899,NA
5087338,378.3392459,NA
5087493,118.4344997,NA
5087912,377.5557691,NA
5087936,376.3447456,NA
5088590,120.7044146,NA
5089001,138.6566837,NA
5089647,119.8913697,NA
5089934,136.4805859,NA
5090012,377.0318051,NA
5090177,120.7044146,NA
5090830,120.7952797,NA
5091286,377.5557691,NA
5091418,119.1124093,NA
5092967,138.6566837,NA
5093143,377.5557691,NA
5094680,120.7044146,NA
5095622,378.3392459,NA
5095725,377.5557691,NA
5096676,106.8746911,NA
5096743,119.9597287,NA
5097187,375.5426077,NA
5097345,132.0639515,NA
5097450,293.6095207,NA
5097606,302.4405127,NA
5097838,121.7292658,NA
5097943,118.9081312,NA
5098935,376.3447456,NA
5099197,377.5557691,NA
5099202,121.7736072,NA
5099446,118.1059933,NA
5099795,138.6566837,NA
5099812,117.5305896,NA
5100049,394.446692,NA
5100271,376.4598303,NA
5100427,380.9887505,NA
5100441,119.7676999,NA
5100532,120.7952797,NA
5101316,120.7952797,NA
5101938,365.4285909,NA
5101990,119.1124093,NA
5102205,120.7952797,NA
5102865,273.5020721,NA
5103065,121.7973374,NA
5103077,120.7952797,NA
5103132,378.3392459,NA
5103364,120.7952797,NA
5103405,328.5165337,NA
5104033,138.5658186,NA
5104253,119.9597287,NA
5104306,137.3279053,NA
5104930,119.7676999,NA
5105520,377.5557691,NA
5105831,214.4848214,NA
5105910,120.7952797,NA
5106328,115.302648,NA
5106988,394.3446419,NA
5107061,125.9004476,NA
5107918,390.057078,NA
5107982,376.3447456,NA
5108182,377.5557691,NA
5108625,375.5426077,NA
5108637,377.5557691,NA
5108704,376.4598303,NA
5108819,380.9887505,NA
5108883,120.7044146,NA
5109227,117.7792091,NA
5109588,376.4598303,NA
5109605,124.5192997,NA
5109916,119.1124093,NA
5110185,377.5557691,NA
5111268,377.5557691,NA
5111309,123.0052045,NA
5111335,119.7676999,NA
5111359,376.4598303,NA
5111696,376.3447456,NA
5111751,375.5426077,NA
5112195,119.9597287,NA
5112482,380.324913,NA
5112652,120.7952797,NA
5112688,377.5557691,NA
5112779,376.3447456,NA
5114430,120.7044146,NA
5114507,120.7952797,NA
5114791,120.7044146,NA
5114911,138.6566837,NA
5115317,117.5305896,NA
5115771,118.3436346,NA
5115850,120.7952797,NA
5115886,120.7952797,NA
5115977,119.6768348,NA
5116127,119.9597287,NA
5116402,376.4598303,NA
5117078,377.5557691,NA
5117236,377.5557691,NA
5117298,378.3392459,NA
5117389,118.6265285,NA
5117432,118.6265285,NA
5117468,378.3392459,NA
5117779,378.3392459,NA
5118644,104.0342055,NA
5118759,376.4598303,NA
5118761,377.5557691,NA
5118797,377.5557691,NA
5118814,377.5557691,NA
5118838,377.5557691,NA
5118840,377.5557691,NA
5118852,377.5557691,NA
5118864,377.5557691,NA
5119167,113.1022061,NA
5120013,152.6919479,NA
5120219,379.1999024,NA
5120312,378.3392459,NA
5120398,120.7044146,NA
5120702,376.4598303,NA
5120740,376.3447456,NA
5120908,120.7952797,NA
5120996,376.3447456,NA
5121196,107.9262886,NA
5121407,120.7952797,NA
5121445,131.0528832,NA
5121500,378.3392459,NA
5122243,140.8520519,NA
5122750,123.9212322,NA
5124162,288.8498459,NA
5124215,137.3279053,NA
5124265,138.6566837,NA
5125166,120.7044146,NA
5125350,377.5557691,NA
5125831,120.7044146,NA
5126043,378.3392459,NA
5126287,377.5557691,NA
5126316,377.5557691,NA
5126342,378.3392459,NA
5126512,138.6566837,NA
5126562,376.4598303,NA
5126615,377.5557691,NA
5127152,122.6331758,NA
5127360,376.4598303,NA
5127657,120.5432829,NA
5127970,120.7952797,NA
5128467,206.4747561,NA
5129095,375.5426077,NA
5129722,120.7044146,NA
5130161,378.3392459,NA
5130264,120.7952797,NA
5130460,377.5557691,NA
5130692,120.7952797,NA
5131153,378.3392459,NA
5131220,120.7952797,NA
5131579,119.9597287,NA
5132030,378.3392459,NA
5132602,118.9081312,NA
5132626,118.6265285,NA
5132767,376.4598303,NA
5133589,121.9058917,NA
5133656,120.7952797,NA
5133802,379.2362746,NA
5134131,377.7920845,NA
5135006,118.8637899,NA
5135159,118.4344997,NA
5135173,120.7952797,NA
5135214,120.7952797,NA
5135329,138.6566837,NA
5135472,377.5557691,NA
5135824,377.7920845,NA
5135977,120.7952797,NA
5136309,120.7952797,NA
5136359,130.1851289,NA
5136490,383.2382274,NA
5137547,118.3436346,NA
5138424,118.0180529,NA
5139181,376.4598303,NA
5139234,377.5557691,NA
5139739,120.7952797,NA
5140283,377.5557691,NA
5140697,119.6718716,NA
5140776,377.5557691,NA
5141122,118.9081312,NA
5141342,120.7952797,NA
5141366,120.7044146,NA
5141483,282.6881047,NA
5141718,120.7044146,NA
5141732,134.0446598,NA
5142114,108.1299087,NA
5142138,120.7952797,NA
5142528,179.7102573,NA
5142657,151.362958,NA
5142750,122.5423107,NA
5142853,121.8449099,NA
5143235,377.5557691,NA
5143273,120.7044146,NA
5143443,377.5557691,NA
5143637,377.0318051,NA
5143792,120.7952797,NA
5144394,120.1399892,NA
5144411,138.6566837,NA
5144485,325.5706177,NA
5144899,377.1867409,NA
5145116,377.7920845,NA
5145520,394.3446419,NA
5145568,120.7952797,NA
5145984,119.7676999,NA
5146249,136.4805859,NA
5146354,377.5557691,NA
5146689,120.7952797,NA
5146794,120.7952797,NA
5146809,117.574931,NA
5146914,120.7952797,NA
5147229,122.5423107,NA
5148053,120.9873086,NA
5148417,278.6567993,NA
5148601,119.9597287,NA
5148716,378.3392459,NA
5148754,127.8641956,NA
5148821,117.5305896,NA
5149136,384.0080326,NA
5149394,119.4269063,NA
5149617,107.4666675,NA
5149760,120.7952797,NA
5150202,377.5557691,NA
5150252,120.7952797,NA
5150666,120.7952797,NA
5150757,377.5557691,NA
5151921,108.0093998,NA
5152822,108.6326666,NA
5153230,120.9873086,NA
5153383,119.7676999,NA
5153395,120.7952797,NA
5153462,377.7920845,NA
5153711,376.4598303,NA
5153890,120.1399892,NA
5154222,118.9081312,NA
5154387,378.3392459,NA
5154777,363.2330684,NA
5154806,377.7920845,NA
5154894,377.5557691,NA
5154985,377.5557691,NA
5155032,120.7952797,NA
5155109,118.9081312,NA
5156270,120.7044146,NA
5156658,376.3447456,NA
5156725,383.4118699,NA
5156799,377.7920845,NA
5156828,107.5222092,NA
5156919,377.5557691,NA
5157626,119.7676999,NA
5157975,138.6566837,NA
5158709,117.574931,NA
5159363,120.7952797,NA
5159569,138.6566837,NA
5159703,377.5557691,NA
5159818,138.6566837,NA
5159832,110.6493255,NA
5159870,111.1984749,NA
5159894,119.6768348,NA
5161158,119.7676999,NA
5161304,378.3392459,NA
5161897,377.0318051,NA
5162035,376.4598303,NA
5162097,377.5557691,NA
5162449,378.3392459,NA
5162798,120.7952797,NA
5162803,120.7952797,NA
5162839,119.8913697,NA
5162865,120.7952797,NA
5164148,377.5557691,NA
5164150,108.5626064,NA
5164772,376.3447456,NA
5164784,118.3436346,NA
5164916,374.8592559,NA
5165776,121.6030041,NA
5166392,200.5110768,NA
5166691,377.5557691,NA
5166718,376.3447456,NA
5166782,119.9597287,NA
5166952,377.5557691,NA
5167566,120.7952797,NA
5169045,376.4598303,NA
5169277,377.5557691,NA
5169370,376.4598303,NA
5169758,120.7952797,NA
5170020,119.935711,NA
5170109,120.7044146,NA
5170185,360.9287064,354.5367789
5170472,119.1124093,NA
5171189,268.5532096,NA
5171191,376.4598303,NA
5171385,120.7952797,NA
5171581,120.7952797,NA
5171646,120.7952797,NA
5171658,120.7044146,NA
5171684,120.7952797,NA
5171983,119.7676999,NA
5172585,120.7044146,NA
5172731,377.0318051,NA
5172755,104.9970281,NA
5173498,377.5557691,NA
5173527,377.5557691,NA
5173670,307.1458085,NA
5173814,378.3392459,NA
5173840,378.3392459,NA
5173876,228.5546917,NA
5174428,323.1677046,NA
5174478,376.4598303,NA
5174492,120.7044146,NA
5174662,118.8637899,NA
5174789,119.8913697,NA
5175549,122.8252047,NA
5175551,119.9597287,NA
5175745,332.6781819,NA
5176191,138.6566837,NA
5176775,377.5557691,NA
5177602,376.3447456,NA
5177963,120.7952797,NA
5179026,120.7952797,NA
5180295,119.8761498,NA
5180441,394.3446419,NA
5180520,119.9597287,NA
5180568,120.7044146,NA
5181457,120.7044146,NA
5181598,331.75142,NA
5182205,394.2914951,NA
5182504,116.7727931,NA
5182853,378.3392459,NA
5183637,120.7952797,NA
5184980,377.5557691,NA
5185788,120.7952797,NA
5185881,119.1124093,NA
5185960,378.3392459,NA
5186031,376.3447456,NA
5186225,378.3392459,NA
5186641,120.6227705,NA
5187009,376.3447456,NA
5187011,376.3447456,NA
5187061,376.4598303,NA
5187346,378.3392459,NA
5187621,377.7920845,NA
5187671,377.5557691,NA
5187736,364.0165451,NA
5187877,378.3392459,NA
5188508,106.9578022,NA
5188704,120.7952797,NA
5189136,119.4066495,NA
5189198,394.3446419,NA
5189411,378.7268135,NA
5189966,376.4598303,NA
5189978,119.7676999,NA
5190202,137.104512,NA
5190719,120.7044146,NA
5191581,108.5262342,NA
5191696,379.4362178,NA
5191919,120.7952797,NA
5192121,120.9270906,NA
5192626,105.6130103,NA
5192779,377.5557691,NA
5193498,377.5557691,NA
5193890,118.9081312,NA
5194272,134.9178011,NA
5194820,105.6130103,NA
5195379,105.8858811,NA
5195628,108.0093998,NA
5196402,291.1283161,NA
5196567,120.7952797,NA
5197901,152.53568,NA
5197999,376.4598303,NA
5198436,119.7676999,NA
5198656,277.7167612,NA
5198814,378.3392459,NA
5200021,118.3436346,NA
5200148,119.7676999,NA
5200253,127.2592994,NA
5200289,283.1963029,NA
5200459,379.1999024,NA
5201623,117.574931,NA
5201714,138.6566837,NA
5201726,118.1825028,NA
5201738,117.5305896,NA
5201934,118.9081312,NA
5202201,137.6202457,146.8215305
5202213,104.665446,119.6931062
5202328,122.1578851,NA
5202469,119.9597287,NA
5202524,120.8402874,NA
5203279,376.3447456,NA
5203683,120.7952797,NA
5203786,222.3000439,NA
5204730,377.5557691,NA
5205576,377.5557691,NA
5205784,385.4553715,NA
5206362,210.3192302,NA
5206386,376.3447456,NA
5207158,120.9873086,NA
5208126,125.8322514,NA
5209065,120.7952797,NA
5209429,120.7044146,NA
5209431,120.7952797,NA
5209699,120.4405752,NA
5209883,120.7952797,NA
5209998,377.5557691,NA
5211484,376.4598303,NA
5211898,377.5557691,NA
5212218,376.4598303,NA
5212311,378.3392459,NA
5212385,377.5557691,NA
5212440,376.4598303,NA
5212749,142.840732,NA
5213688,120.7044146,NA
5214967,135.5730916,NA
5215313,120.7952797,NA
5215454,117.574931,NA
5215753,324.7011524,NA
5215789,456.1200733,NA
5215856,106.6646078,NA
5215959,375.5426077,NA
5216197,377.5557691,NA
5216276,378.3392459,NA
5216745,142.2958805,NA
5216915,120.7952797,NA
5217218,378.3392459,NA
5217555,120.9270906,NA
5217749,118.6265285,NA
5218169,118.1059933,NA
5218183,278.4294848,NA
5218456,376.4598303,NA
5218872,378.3392459,NA
5219278,119.6768348,NA
5219541,378.3392459,NA
5219553,120.7952797,NA
5220019,119.7676999,NA
5221219,106.9578022,NA
5221336,283.7495095,NA
5221491,119.7676999,NA
5221659,378.0252511,NA
5221697,119.7676999,NA
5221893,118.2361075,NA
5222043,377.5557691,NA
5222081,120.7952797,NA
5222354,378.3392459,NA
5223671,120.7044146,NA
5224053,377.5557691,NA
5224247,120.7952797,NA
5224285,119.9597287,NA
5225916,120.7044146,NA
5226025,137.6795147,NA
5226037,106.472579,NA
5226221,118.6265285,NA
5226439,120.7952797,NA
5226518,377.5557691,NA
5226893,377.5557691,NA
5227732,107.4666675,NA
5228114,370.6573261,NA
5228827,265.455732,NA
5229704,376.3447456,NA
5229730,377.5557691,NA
5230040,377.5557691,NA
5230117,134.7598344,NA
5230246,378.3392459,NA
5230686,376.3447456,NA
